id,name,pic_cover,tel,line_uname,description,age,category,price,location,user_id
11,แซนวิชเห็ด,https://i.imgsafe.org/30/30d146899c.jpeg,0719999999,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,FEMALE,1500,SRID=4326;POINT(13.78566 100.56882),3
12,แซนวิชเบคอน,https://i.imgsafe.org/ca/cad3a6207e.jpeg,07169696969,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,LADY_BOY,1000,SRID=4326;POINT(13.85519 100.53818),3
13,สลัดทูน่า,https://i.imgsafe.org/cb/cb0ccb920e.jpeg,07169696969,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,FEMALE,1300,SRID=4326;POINT(13.62217 100.62519),3
14,แพนเค๊ก,https://i.imgsafe.org/cb/cb0cd95098.jpeg,07169696969,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,TOM,2500,SRID=4326;POINT(13.78566 100.56882),3
15,แซนวิชเห็ด,https://i.imgsafe.org/30/30d146899c.jpeg,0719999999,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,FEMALE,1500,SRID=4326;POINT(13.78566 100.56882),3
16,แซนวิชเบคอน,https://i.imgsafe.org/ca/cad3a6207e.jpeg,07169696969,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,LADY_BOY,1000,SRID=4326;POINT(13.98603 100.61069),3
17,สลัดทูน่า,https://i.imgsafe.org/cb/cb0ccb920e.jpeg,07169696969,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,FEMALE,1300,SRID=4326;POINT(13.62217 100.62519),3
18,แพนเค๊ก,https://i.imgsafe.org/cb/cb0cd95098.jpeg,07169696969,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,TOM,2500,SRID=4326;POINT(13.77299 100.63154),3
19,แซนวิชเห็ด,https://i.imgsafe.org/30/30d146899c.jpeg,0719999999,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,FEMALE,1500,SRID=4326;POINT(13.78566 100.56882),3
20,แซนวิชเบคอน,https://i.imgsafe.org/ca/cad3a6207e.jpeg,07169696969,@okokok,The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog The quick brown fox jumps over the lazy dog,20,LADY_BOY,1000,SRID=4326;POINT(13.85519 100.53818),3
